osrs_id,name,category,existing_2009_id,existing_2009_name,same_name_2009_ids,duplicate_name_in_osrs,placeholder_or_null,noted_or_note_related,tradeable,stackable,equipment_item,weapon_item,non_equipment_item,quest_or_untradeable_hint,requires_models,definition_only_candidate,inventory_model_id,ground_model_id,male_wield_model_id,female_wield_model_id,equipment_slot,weapon_type,attack_speed,has_examine
0,Dwarf remains,already_existing_same_id,0,Dwarf remains,[0],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
1,Toolkit,already_existing_same_id,1,Toolkit,"[1, 4051, 4052]",True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
2,Cannonball,already_existing_same_id,2,Cannonball,[2],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
3,Nulodion's notes,already_existing_same_id,3,Nulodion's notes,[3],True,False,True,False,False,False,False,True,True,False,True,,,,,,,,True
4,Ammo mould,already_existing_same_id,4,Ammo mould,[4],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
5,Instruction manual,already_existing_same_id,5,Instruction manual,[5],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
6,Cannon base,already_existing_same_id,6,Cannon base,"[6, 7]",True,False,False,True,False,False,False,True,False,False,True,,,,,,,,True
7,Cannon base,already_existing_same_id,7,Cannon base,"[6, 7]",True,False,True,True,False,False,False,True,False,False,True,,,,,,,,True
8,Cannon stand,already_existing_same_id,8,Cannon stand,"[8, 9]",True,False,False,True,False,False,False,True,False,False,True,,,,,,,,True
9,Cannon stand,already_existing_same_id,9,Cannon stand,"[8, 9]",True,False,True,True,False,False,False,True,False,False,True,,,,,,,,True
10,Cannon barrels,already_existing_same_id,10,Cannon barrels,"[10, 11]",True,False,False,True,False,False,False,True,False,False,True,,,,,,,,True
11,Cannon barrels,already_existing_same_id,11,Cannon barrels,"[10, 11]",True,False,True,True,False,False,False,True,False,False,True,,,,,,,,True
12,Cannon furnace,already_existing_same_id,12,Cannon furnace,"[12, 13]",True,False,False,True,False,False,False,True,False,False,True,,,,,,,,True
13,Cannon furnace,already_existing_same_id,13,Cannon furnace,"[12, 13]",True,False,True,True,False,False,False,True,False,False,True,,,,,,,,True
14,Railing,already_existing_same_id,14,Railing,[14],True,False,False,False,True,False,False,True,True,False,True,,,,,,,,True
15,Holy table napkin,already_existing_same_id,15,Holy table napkin,[15],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
16,Magic whistle,already_existing_same_id,16,Magic whistle,[16],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
17,Grail bell,already_existing_same_id,17,Grail bell,[17],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
18,Magic gold feather,already_existing_same_id,18,Magic gold feather,[18],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
19,Holy grail,osrs_only,,,[],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
20,White cog,already_existing_same_id,20,White cog,[20],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
21,Black cog,already_existing_same_id,21,Black cog,[21],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
22,Blue cog,already_existing_same_id,22,Blue cog,[22],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
23,Red cog,already_existing_same_id,23,Red cog,[23],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
24,Rat poison,already_existing_same_id,24,Rat poison,[24],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
25,Red vine worm,already_existing_same_id,25,Red vine worm,[25],True,False,False,False,True,False,False,True,True,False,True,,,,,,,,True
26,Fishing trophy,already_existing_same_id,26,Fishing trophy,[26],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
27,Fishing pass,already_existing_same_id,27,Fishing pass,[27],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
28,Insect repellent,already_existing_same_id,28,Insect repellent,[28],True,False,False,True,False,False,False,True,False,False,True,,,,,,,,True
29,Insect repellent,same_name_different_id,,,[28],True,False,True,True,False,False,False,True,False,False,True,,,,,,,,True
30,Bucket of wax,already_existing_same_id,30,Bucket of wax,[30],True,False,False,True,False,False,False,True,False,False,True,,,,,,,,True
31,Bucket of wax,id_collision,31,RDT Slot,[30],True,False,True,True,False,False,False,True,False,False,True,,,,,,,,True
32,Lit black candle,already_existing_same_id,32,Lit black candle,[32],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
33,Lit candle,already_existing_same_id,33,Lit candle,"[33, 34]",True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
35,Excalibur,already_existing_same_id,35,Excalibur,"[35, 8280]",True,False,False,False,False,True,True,False,True,False,True,,,,,3,slash_sword,5,True
36,Candle,already_existing_same_id,36,Candle,"[36, 37]",True,False,False,True,False,False,False,True,False,False,True,,,,,,,,True
37,Candle,already_existing_same_id,37,Candle,"[36, 37]",True,False,True,True,False,False,False,True,False,False,True,,,,,,,,True
38,Black candle,already_existing_same_id,38,Black candle,[38],True,False,False,False,False,False,False,True,True,False,True,,,,,,,,True
39,Bronze arrowtips,already_existing_same_id,39,Bronze arrowtips,[39],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
40,Iron arrowtips,already_existing_same_id,40,Iron arrowtips,[40],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
41,Steel arrowtips,already_existing_same_id,41,Steel arrowtips,[41],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
42,Mithril arrowtips,already_existing_same_id,42,Mithril arrowtips,[42],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
43,Adamant arrowtips,already_existing_same_id,43,Adamant arrowtips,[43],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
44,Rune arrowtips,already_existing_same_id,44,Rune arrowtips,[44],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
45,Opal bolt tips,already_existing_same_id,45,Opal bolt tips,[45],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
46,Pearl bolt tips,already_existing_same_id,46,Pearl bolt tips,[46],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
47,Barb bolttips,already_existing_same_id,47,Barb bolttips,[47],True,False,False,True,True,False,False,True,False,False,True,,,,,,,,True
48,Longbow (u),already_existing_same_id,48,Longbow (u),"[48, 49]",True,False,False,True,False,False,False,True,False,False,True,,,,,,,,True
49,Longbow (u),already_existing_same_id,49,Longbow (u),"[48, 49]",True,False,True,True,False,False,False,True,False,False,True,,,,,,,,True
