#newId|name|ground|male0|male1|female0|female1|maleHead|femaleHead|zoom|xan|yan|zan|xoff|yoff|tradeable|priority|headPriority|rigM0|rigF0|rigMHead|rigFHead|wornDy|equippable|facePriority|configTemplate
14686|Avernic defender|35745|35376|-1|35377|-1|-1|-1|717|498|256|2047|8|8|false|10|4|15413|15413|-1|-1|11|true|-1|8850
14687|Dragon hunter lance|36149|36303|-1|39547|-1|-1|-1|1550|2007|54|202|2|-2|true|10|4|5409|5409|-1|-1|11|true|-1|11379
14688|Zamorakian hasta|28038|27654|-1|39550|-1|-1|-1|1900|1257|512|0|0|-4|true|10|4|5409|5409|-1|-1|11|true|-1|11379
14689|Osmumten's fang|46468|45278|-1|45285|-1|-1|-1|1598|319|1500|0|2|20|true|10|4|5409|5409|-1|-1|11|true|-1|1305
14690|Dragon warhammer|4041|4037|-1|4038|-1|-1|-1|1600|1510|1785|821|9|-4|true|10|4|5409|5409|-1|-1|11|true|-1|1347
14691|Armadyl crossbow|19967|19839|-1|42611|-1|-1|-1|1325|240|110|0|-6|-40|true|10|4|5409|5409|-1|-1|11|true|-1|9185
14692|Toxic blowpipe|19219|14403|-1|14403|-1|-1|-1|1158|768|189|0|-7|4|false|10|4|5409|5409|-1|-1|11|true|-1|861
14702|Dragon defender|10422|10420|-1|10421|-1|-1|-1|589|498|256|2047|8|8|false|10|4|15413|15413|-1|-1|11|true|-1|8850
14703|Dragon pickaxe|28315|28288|-1|28288|-1|-1|-1|1070|224|1056|0|-2|-19|true|10|4|5409|5409|-1|-1|11|true|-1|1275
14704|Staff of light|34518|34508|-1|34507|-1|-1|-1|1853|364|1508|0|1|21|true|10|4|5409|5409|-1|-1|11|true|-1|4170
14705|Voidwaker|47422|47212|-1|47217|-1|-1|-1|1723|539|678|0|1|-1|true|10|4|5409|5409|-1|-1|11|true|-1|1305
